Company,MSFT,NFLX,KO,MCD,JNJ,SBUX,DIS,ORCL,O
2022-01-01,0.0054960908450660114,0.0004435377301918891,0.011539474932380476,0.009291673926916601,0.012118754719963414,0.006090525846956055,0.0010263548926554068,0.009595298481014576,0.00789458660809104
2022-01-31,0.005763984998951687,0.0006318379276799376,0.011231222662058726,0.009696469099085557,0.012691247460129637,0.010549804536537491,0.00113445948744949,0.01039727920269683,0.008226465375058745
2022-03-02,0.006146532528957891,0.000700089213604798,0.010901213674200922,0.010390753651191834,0.013156516086633444,0.011069160780717043,0.0010852490776811572,0.00861150130820977,0.00815959450172951
2022-04-01,0.006433330364921206,0.0003844169757423683,0.009143333318915479,0.009373593883835653,0.012325570379372583,0.011311361958024053,0.001167585679987832,0.008103682329273647,0.008512881076171206
2022-05-01,0.00695611269412646,0.0007286090020002621,0.008760332225546187,0.009244634164442931,0.010528627987735278,0.010732178914748319,0.001202325059183647,0.00888507147527147,0.008396936350293207
2022-05-31,0.007246281541931425,0.000735992998263103,0.008976984708007294,0.009287968991998087,0.010691309659358285,0.010480273220429732,0.0012456502524073722,0.01063071804641939,0.00869305619606946
2022-06-30,0.008584115973001618,0.0014625517783856093,0.009003336999216285,0.008080890034731905,0.010747592470799596,0.010788293575792363,0.0014521983713206383,0.011189192007249105,0.010164786162164046
2022-07-30,0.007880640719752427,0.0011049238852546468,0.009229220920810058,0.007757445556020036,0.010152495649597387,0.00861646128558687,0.0020541584406539638,0.010030861905820646,0.00945431436453103
2022-08-29,0.008286799743538804,0.0011332273315359975,0.009411686634426682,0.007987301789875554,0.010834812433672155,0.008678631291444727,0.001898702201330649,0.010450470468354357,0.009928412497666603
2022-09-28,0.009232343765507071,0.0010783421738031376,0.010268976532497429,0.008819413298794961,0.01060867035307719,0.008404286222143714,0.002270969979515804,0.013611350346619876,0.01154782712653463
2022-10-28,0.009502986112444545,0.0005780699672311317,0.010968439366389698,0.007709600422601788,0.0109120816171839,0.008442434792638075,0.0027803581515708476,0.011175222547076116,0.01288300928748736
2022-11-27,0.008865339854891517,0.0005983343813555475,0.01054701427344039,0.007615446393079341,0.010738755527754563,0.007323939537056092,0.0028763802660819473,0.01029654152465681,0.011653924635382356
2022-12-27,0.009251317108004503,0.0005954855874458789,0.010315474551887102,0.007796207702512154,0.010727875462806511,0.007346123136865608,0.003267469270597451,0.00609613120855912,0.011784979969788507
2023-01-26,0.00794232784899834,0.000987764782839453,0.009948959084889396,0.007991379619840956,0.010980576245018945,0.006277087089352536,0.00036690351230878564,0.005502065872304597,0.012298286836617371
2023-02-25,0.007719825793226155,0.0011108276720529088,0.010090810971511568,0.008262330427599123,0.011913041447194623,0.006509948341429352,0.00039843450274064705,0.005613025985897007,0.012779329603796566
2023-03-27,0.006860028244900918,0.0010642067658943673,0.009820713994691171,0.0079591305466601,0.010022211586231296,0.006699596517485861,0.00041724715233690653,0.003715916141137771,0.013444880742092458
2023-04-26,0.0065142449159834685,0.003672790063321017,0.007378735268208362,0.007371632196741483,0.009383972365409308,0.00512527626216487,0.0008329179809821429,0.003565749446713144,0.014816666897425156
2023-05-26,0.0058282666771927675,0.0031717791273033506,0.007770434580368278,0.007452319638745016,0.00985220361166271,0.005733118214517887,0.0009117616987428941,0.0031744624025834825,0.015205483996155168
2023-06-25,0.005746693319985368,0.00276143007439812,0.007619000925325187,0.0073542505763714095,0.009250841283210178,0.005715448309536575,0.0009260514236371361,0.007076312070562294,0.015281793738958896
2023-07-25,0.006262030667663582,0.004453885586700543,0.008392166279048896,0.006656181752503104,0.008478607567593499,0.004986579694754969,0.003950036521203736,0.0071893826425930086,0.014969114253633823
2023-08-24,0.006684205310456392,0.004578085402808174,0.008615123801427406,0.006904824463030667,0.00948043905848181,0.005427981870486667,0.0038643642844700286,0.007287867106518088,0.016638043783054734
2023-09-23,0.006845020373195684,0.004988009747091424,0.009044090665972187,0.0071840761361740635,0.00972791135520671,0.0054751162564205475,0.004116151844149951,0.00926984869739543,0.018237485841150376
2023-10-23,0.00668467339363051,0.005821313230073024,0.012068372644694094,0.008292348394365047,0.011714791557493925,0.007854403278129658,0.007088503927439945,0.009826398203979188,0.02034836568215919
2023-11-22,0.005817377139020935,0.004891611951140278,0.01127120406296368,0.007565290664152927,0.011806687700213174,0.007147403267067097,0.006347764041686259,0.008724727350165053,0.01826034910749899
2023-12-22,0.005870814851679459,0.004733751591588946,0.011289589676785516,0.007314053180008585,0.011461070260710306,0.007814241103367757,0.006359362841540966,0.007537628880727466,0.017066377823193205
